poi_id,poi_type,aantal,afstand_poi_station,loopafstand_gem,naam,station_naam,inuit,station_type,aantal_unieke_trackers,aantal_trips,aantal_trips_trein_station_buffer,journey_distance_gem,aantal_regionale_reizen,aandeel_regionale_reizen,aantal_trips_lopen,aantal_trips_fiets,aantal_trips_btm,aantal_trips_trein,aantal_trips_auto,fractie_lopen,fractie_fiets,fractie_btm,fractie_trein,fractie_trein_station_buffer,fractie_auto,aantal_trips_gewogen,aantal_trips_lopen_gewogen,aantal_trips_fiets_gewogen,aantal_trips_btm_gewogen,aantal_trips_trein_gewogen,aantal_trips_trein_station_buffer_gewogen,aantal_trips_auto_gewogen,fractie_lopen_gewogen,fractie_fiets_gewogen,fractie_btm_gewogen,fractie_trein_gewogen,fractie_trein_station_buffer_gewogen,fractie_auto_gewogen,aantal_trips_station,aantal_trips_station_lopen,aantal_trips_station_fiets,aantal_trips_station_btm,aantal_trips_station_trein,aantal_trips_station_auto,aantal_trips_station_gewogen,aantal_trips_station_lopen_gewogen,aantal_trips_station_fiets_gewogen,aantal_trips_station_btm_gewogen,aantal_trips_station_trein_gewogen,aantal_trips_station_auto_gewogen,fractie_station_lopen,fractie_station_lopen_en_trein,fractie_station_lopen_gewogen,fractie_station_lopen_en_trein_gewogen,geom_polygoon,station_geom
1,attractiepark,117,1333.22554095,1483.3333333333333,Spui,Amsterdam Centraal,199510,megastation,90,206,10,11079.368932038835,38,0.18446601941747572816,102,61,10,12,21,0.495,0.296,0.049,0.058,0.049,0.102,1.282,0.615,0.336,0.049,0.093,0.086,0.189,0.480,0.262,0.039,0.073,0.067,0.147,12,9,3,0,0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.750,0.750,0.379,0.379,010600002040710000010000000103000000010000001D00000066ED4BA3218DFD404DB9FE06BEB71D41AA71279C7C8FFD404F6330DCBEB71D41763C9ADBDF8FFD405A8081D9C1B71D41981266F7F68FFD40A81AB513C2B71D41CA4193730C90FD409E072BB5C2B71D41BB4702085490FD4047E6C123C2B71D41A331D8CDB690FD40935EB2B4C3B71D41CCAA6DF40092FD407567B038CEB71D41C501BBC2CD92FD4079141FB9E3B71D41FBB50BCF0095FD40C36D6CB826B81D41099CA8250695FD40921286D90AB81D41FE3BF26DE394FD405E447C8108B81D41B2C6A6F50995FD40FFC7A032CBB71D41E42962FA6C97FD401277D439EFB71D4116A7118F9097FD403453C041F1B71D41AF811782A297FD408FFBFB37DCB71D41380902CEC897FD40F1E1582DAEB71D414602162A9197FD40F82B02DDA7B71D41905A37950895FD4098624A3675B71D41E24BD028E894FD40D306371673B71D412E83950B8592FD4008B347BA4FB71D41BAD8A5D84392FD40C75D8C8252B71D41B5A5AF85E091FD406FC6CBC24CB71D41560DD258B38FFD403B028AA00DB71D41A2468599228FFD403B9610C6F4B61D410449579B578EFD402B807B5121B71D4130C9E390378DFD40B9C53B32A3B71D418121CB13228DFD40793CD246B2B71D4166ED4BA3218DFD404DB9FE06BEB71D41,0101000020407100009D1E391D57BFFD40DF4E6D830CC91D41
2,attractiepark,27,1196.59933566,1230,Oude Raadhuis,Den Haag Centraal,98818,megastation,23,55,3,11230.363636363636,12,0.21818181818181818182,22,18,2,4,9,0.400,0.327,0.036,0.073,0.055,0.164,0.372,0.176,0.066,0.011,0.022,0.018,0.098,0.472,0.178,0.029,0.058,0.050,0.263,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,1.000,1.000,1.000,01060000204071000001000000010300000001000000250000004939775277C6F340C2D85F8BB8C41B41BF76FCB867C7F340122C73EFE1C41B41B24D97009DC7F3402633DCE8CEC41B411663980BCCC7F340AE1DC0FFBDC41B41B0FB8A76DBC8F3400BE88E895CC41B41F931F207D7C8F340F3F910CC5BC41B41CDBD5556D1C8F34079AB3CD25DC41B4138845ADACEC8F340786CF2A05CC41B41EB9159C6C1C8F340FC5AB18958C41B4110C68B61B0C8F340665B32AA55C41B4158D4CE539CC8F3409E50762E54C41B4123854955ACC8F340DD0721784EC41B415E85C5C2B3C8F3407A8DE6C64FC41B41FBD4661CF7C8F3404E106F2632C41B419F278A57F2C8F3401923144731C41B41101DB5B9F3C8F340332E738F30C41B414B2C56654DC8F340B82CFFA412C41B415FECDB5607C8F340F47540572BC41B412E5AD73CFFC7F340134BC1C429C41B41AB957F67E5C7F3408CEAD3B52AC41B4182962DB0D6C7F34059B2FDF82FC41B41D20CF139DBC7F3403054E92F36C41B4194A18F1BE0C7F340EBA18D1A37C41B41407D997FAAC7F34044E873214AC41B418DCD6B0DACC7F3406877BC6F4AC41B41AB39432A5BC7F34066EBFF4F67C41B41F51B1C3646C7F340AF31669B63C41B41F6D5C5B82AC7F340A49225976DC41B417DE4756429C7F3402659705F6DC41B413E40909520C7F3408358708570C41B41CF025BD705C7F340200952257AC41B4100EDAA2B07C7F3405940075D7AC41B4124DADE76EBC6F34087CA606484C41B416DBEBD8500C7F340FCAF160288C41B41A070B6A2AFC6F34097125DE2A4C41B41A75A7A6AAEC6F34082298DAAA4C41B414939775277C6F340C2D85F8BB8C41B41,0101000020407100009BE9B5C3CE10F440DA237F2882C81B41
3,attractiepark,77,2551.97398806,818.5714285714286,De Hallen,Amsterdam Lelylaan,15908,stoptreinstation,62,453,5,7817.19646799117,110,0.24282560706401766004,64,320,27,14,28,0.141,0.706,0.060,0.031,0.011,0.062,1.863,0.252,1.259,0.129,0.113,0.023,0.110,0.135,0.676,0.069,0.061,0.013,0.059,14,7,6,0,0,1,0.1,0.1,0.0,0.0,0.0,0.0,0.500,0.500,0.744,0.744,010600002040710000010000000103000000010000003F000000A6809987D331FD40B7D9591824B51D419ABBFF255032FD402C83A87D31B51D419A9E25189F32FD40891BF3B901B51D41D4C71E7C8732FD401AFEBA46FFB41D413002E37FE032FD4084E17065C9B41D4153ACBF2E7234FD4000D288DEF2B41D41AA34573C4F34FD40A659FF1707B51D410487F38F3434FD4055963C3404B51D41F0B1C7DF2234FD40A25C8D6D0EB51D41B031F4810E34FD40F4DD46421AB51D4148181D122934FD403888B11A1DB51D4144359688DF33FD40D41A34B247B51D410CBAA2A60E34FD40C1BD10DD4CB51D41EFAB51490634FD4035C6A79851B51D41B25A7B5F9534FD40A9ABB2C860B51D4148B55F596E34FD406497B93D77B51D41CF0533EAFB34FD408F6E0D9C86B51D41AA8BEDC2D534FD408E8248059DB51D4164A74E156435FD40C66C4E2AACB51D41F6B389B73D35FD40720735C1C2B51D415199FA9ADF35FD40A8E52D00D4B51D41E66A839AD635FD4041CB2D50D9B51D41EDE2CF6FD535FD40BEA08F6DDAB51D41AE06F977D535FD40C2CA648ADBB51D4112DAC9EAD635FD4007B693A6DCB51D41D88B4373D935FD40C400B094DDB51D4174062DF5DC35FD4064C56149DEB51D4129E61A9E1337FD40C10E306CFFB51D4126E8449B8A38FD401FBB62CA1EB51D41D05C4B9C8E39FD40C17C63A089B41D4164A2AEB9FD39FD409BC49E5547B41D41662BA74C403AFD4007923CCE20B41D412A78E7BC9E39FD40BE42C1A50FB41D41B562F44E7539FD401482EE390BB41D417E45DEC14539FD4068D5002606B41D410F8A9BEEE238FD40107A5760FBB31D41BC6151C4FC38FD40B15B2B60ECB31D418F3C14FB1139FD40F87333A7DFB31D41B0BCE7A0D638FD40D3D3D47BD9B31D4110DFD9312638FD40F3897392C6B31D414277E7D1D037FD402BED396CBDB31D4154C3FD6D7C37FD40B7E0BC67B4B31D41AF5539617837FD40751414CAB3B31D41610925F57437FD409DFABB10B6B31D41309EF5E02137FD40BD3AD52DADB31D417642BFC07936FD4010B7FA2F9BB31D411F06388D3B36FD406177387D94B31D410698E20ABF35FD4078898C2E87B31D41F5CC2C0B8235FD4011116E9D80B31D411E3958250235FD4012052EF572B31D41780FD1E98134FD4000A4BB0865B31D413C2959396734FD40DF27719D74B31D41D36B8C8A2F34FD405C43AC0797B31D41A3CFDBB53234FD4044EFF95597B31D41B2F208CD1A34FD406A5DDE0AA5B31D4132349CB8F633FD405BC25595BBB31D41D883EDA4F433FD405E82515DBBB31D4186A92FDFA733FD4070B6D2FDEAB31D4168E341CF0333FD40FA454EDF4FB41D41702511212C33FD40AAEB479553B41D4104E7A0067F32FD40CE8E335ABCB41D41A6AFD2F48932FD402BAA6C7DBDB41D41A6809987D331FD40B7D9591824B51D41,010100002040710000B46D8D92B1A3FC40474E3128DBA41D41
4,attractiepark,369,7173.17216431,,Attractiepark Slagharen,Hardenberg,2671,sneltreinstation,107,922,1,18937.34273318872,190,0.20607375271149674620,696,14,0,3,202,0.755,0.015,0.000,0.003,0.001,0.219,5.025,3.731,0.074,0.000,0.031,0.010,1.134,0.743,0.015,0.000,0.006,0.002,0.226,3,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,010600002040710000010000000103000000010000001C00000050A1B46C339C0C41D55C9B0BD87B1F41D202AE2EBC9C0C413368BAA6157C1F41A6D65B1D5F9C0C4172C86806497C1F4118778FECD19C0C418325A5BF7C7C1F417618A18BEE9C0C41A6A7F1AA897C1F410E030A5E5B9E0C4198B0B80A2E7D1F418EEA78D67F9E0C41161D427F3E7D1F415122FBBE8FA10C412645D604BB7E1F41F4C73897B8A30C41068C69EAD57F1F4158ADDB6A8AA70C41117F8C77A47D1F415A23337967A20C415AC3DC47557B1F4188224BF22AA30C4180AF51A3E27A1F415243B82368A30C410906E59BD97A1F41F8E956EC87A50C4183565A3BBC791F41F3EB3BA1C6A60C41018F405E8D791F416822F28818AC0C41170FACD25C761F41503FFB7137A80C41B72D635BAC741F41B30205D97FA70C4113D350B315751F4145B67BC742A70C410E53835844751F41F66A660C03A70C412C39C59267751F4150F71BA459A50C41838AE66752761F41D6D56245F6A40C41109A1A3E89761F41CCD74A5B10A40C41192FC73308771F41E411C057F2A30C415D07A3BD18771F41697D00BD40A60C41277D71C322781F4128CFFC7B74A10C41738F93DCC87A1F414039A94C9E9F0C414ABCCFF9F4791F4150A1B46C339C0C41D55C9B0BD87B1F41,010100002040710000B039EE19A6310D41FA3BFAC6AA231F41
5,attractiepark,30,9168.55557911,,Pinokkio,Tilburg Reeshof,3146,stoptreinstation,19,26,0,37378.846153846156,13,0.50000000000000000000,13,0,0,0,13,0.500,0.000,0.000,0.000,0.000,0.500,0.109,0.059,0.000,0.000,0.000,0.000,0.050,0.539,0.000,0.000,0.000,0.000,0.461,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,010600002040710000010000000103000000010000002200000045CA178ADA090041F44F878615D4184165989215DD090041D8E93C371BD4184182719625E7090041FB0E0F991FD41841033C5558F1090041A72226BB20D41841865D9042F3090041F3EE9C3224D41841E85F9430F8090041E749D1532AD418415CE2F932FC090041EA6B32AF32D418414B245E96190A004145B22E5537D418413A59BA54240A0041E3A74B7E3DD41841F8F33E372D0A00412023B24640D41841A25BA904350A00418BDCE5E439D4184157ED52B5460A0041FF82C9F536D4184174DAC7AA600A0041BDC6C60D36D4184124C79BD66E0A0041DFEEBBD52FD41841B24A207D710A0041D1E7462729D41841202BEE9F680A0041A9B649AD22D4184197234CBB5E0A0041AC4880A61ED418418A737358570A0041FCE1201A28D418413A0126A0320A004145928DFA20D4184137B201493A0A00416E089F2B17D41841619E7BEF3E0A0041B5A03E3211D41841D41FECBD280A0041684F32380CD41841C2DA8C79200A0041DEF3AA5E0AD41841AABE4BD7130A00410EC3D21F15D41841AD01C806110A0041F3F8241C16D418419AEF22FB0C0A0041607F09B815D418418774B14D090A0041EA77433C13D41841A2755DAF060A004176EE868111D41841F0E892E5020A004106EAD1050FD41841BCAAB6C9F9090041D44933F90BD41841BB76F633EF090041176F20EE0AD41841C4F85A95E509004196C73C770CD41841B26BB289DD090041156BC68810D4184145CA178ADA090041F44F878615D41841,010100002040710000F4514AB1C531FF4096D0C1B78E501841
6,attractiepark,54,1565.05788811,,Zwartstaart prairiehond,Rotterdam Centraal,101732,megastation,46,121,0,18242.479338842975,54,0.44628099173553719008,57,4,0,0,60,0.471,0.033,0.000,0.000,0.000,0.496,0.529,0.228,0.023,0.000,0.000,0.000,0.279,0.431,0.043,0.000,0.000,0.000,0.526,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,01060000204071000001000000010300000001000000140000004019E7AA490BF6401A65508DAEBD1A41C889F31A630BF640DB9D0C8EBBBD1A41A7D6AF18760BF6405E5CC4F7C0BD1A4106A81CC58A0BF6405BCCB2DCC4BD1A41A548E342B20BF64070A50AB2C8BD1A417B070774150CF6402A0B0F0AC7BD1A4154A27B33240CF640284F54E6C4BD1A4100E18CA84A0CF6408118D063BFBD1A411242A374680CF6408C49904DB6BD1A41C22F415B800CF640E0A71320AEBD1A41DC181B5B910CF640BCE8C4D199BD1A412A3674C9900CF6407FE9F1D38EBD1A41BA8D7E658D0CF64020C70FBD86BD1A4146522C01890CF640BF1CF29080BD1A4133CE7D7B160CF6402203E83C6ABD1A418A1FA825CC0BF6400395D7AE6DBD1A410A86193E820BF64096BB52F381BD1A412AFCED835D0BF6409FE19E3D8DBD1A41727CB177500BF640FF9B44159DBD1A414019E7AA490BF6401A65508DAEBD1A41,0101000020407100003E5F8BBB936BF640F61746227CB81A41
7,attractiepark,479,5134.03788593,,Toverland,Horst-Sevenum,2797,stoptreinstation,130,772,0,20016.34715025907,245,0.31735751295336787565,474,6,0,0,290,0.614,0.008,0.000,0.000,0.000,0.376,3.323,2.019,0.018,0.000,0.000,0.000,1.268,0.607,0.005,0.000,0.000,0.000,0.381,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0106000020407100000100000001030000000100000027000000B762933AA9F5074133FD91A6E62017412B1E2492E5FD0741FB45745E7B22174138161DC25EFC07416CBD69D40E24174191F5D86336FC0741AE6F8AC53E2417410A08AE36DCFB07412D3280CFAA241741F2EE947AC6FB0741FBDCBEFFC3241741B43A308CBFFC0741A8CC674FFB2417414655D98447FC0741BBECC34E94251741E352B4C6B5FC074183C1BDEE4D261741223B83373AFE074152DE8A388A2617412F6F6FF5AFFE0741D9D6A724652617415C459814ACFF0741AAF8C7A56926174145E3F92ED6FF074108C79441A725174185EEB90190010841378ABC7C832417414C35F25A23020841EE42E76822241741B6605DF51F0208414C6D3A1F9423174120FE96F7CD0208414DB9B9D53D2317416C0D1CFB9A030841FE0B32E44822174150E1B6892A030841A1285969E52117417CFEA04A640308414637360A67211741F500382B6404084174831DAC8B201741BFD40B8E73040841105EA26E6F2017416C8238606B040841AABF8EBC3F2017418F76ACBF25040841A2F448B8302017413EE2BD72F3030841B74E67D22E2017418FC633D7F20308416A8252731320174191F35B8B57040841AD6012BEA41F1741533F313655030841ED56FA3E671F1741E2E3FDA6A20308417C1C3DC6191F17411423E2AB1A0508418A4055896A1D174128E4AEFF2203084195923BFDFA1C1741A6D9F23E00030841ADE7B3D6E31C17414A89B3B208010841016DFF17731C174141104E641E0008417E614C89861D1741ADC2C323E6FF0741F44A82FA791D174137E5B0606CFD074172E3E0D8EC1C1741317F2125D1F907413E178B951A1C1741432E788F24F60741309A5C6E56201741B762933AA9F5074133FD91A6E6201741,010100002040710000CA35DDB25C7B0841F55792D7AD521741
8,attractiepark,14,9868.28605161,,Schapenboerderij Texel,Den Helder,4293,intercitystation,13,22,0,13534.09090909091,7,0.31818181818181818182,0,5,1,0,16,0.000,0.227,0.045,0.000,0.000,0.727,0.141,0.000,0.067,0.004,0.000,0.000,0.070,0.000,0.472,0.031,0.000,0.000,0.498,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,010600002040710000010000000103000000010000000B000000B2AC1531C425FC401D4D1CE0F3242141C01A898FF525FC404C4E8A2FF72421415868B37EE525FC4008D004F1FA24214180B14A05CD26FC407637D0480A252141BA8DF9C2CD26FC404BA7BB200A252141D06FF20D1827FC4032725294F82421412223C4201D27FC40366DFF64F7242141B3409BFC3626FC40D139F2E4E7242141F9F9230F2226FC403B2C4CCAEC242141801FAEB0F025FC4021F0DD7AE9242141B2AC1531C425FC401D4D1CE0F3242141,0101000020407100004617644AD691FB4014FC699F25DA2041
9,attractiepark,17,1738.43914971,,Sanjes Safari,De Westereen,2008,stoptreinstation,13,32,0,28833.75,26,0.81250000000000000000,0,0,0,0,32,0.000,0.000,0.000,0.000,0.000,1.000,0.311,0.000,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,01060000204071000001000000010300000001000000230000006BE2CB4270FA0741C7529DD289DB21418ACC1A16FBFA07411D49C8B60ADC2141EAA2BE9357FB07415BC94E4050DC21415D74A5C6B9FB074185D50A5983DC21416239FB3441FC0741E60C0A62B1DC21410E166538DCFC07417746D788D6DC2141DD4DD9D587FD074186C66E87F2DC2141BFBB1D6955FE07418B8D5BB603DD2141A1796EE75DFF07413D51ACA80FDD2141EA39B58494FF0741E5C334C89ADC2141CE442BE5CCFF07414E0241F814DC2141A913DF544CFF07419FA6B15F03DC21415DFAF8CAC2FE0741FE450698F9DB2141326CD027D5FE0741BDE47E02DEDB21419AB623E83AFF0741945725FFE4DB214119F970A9ACFF07417AD48A4CECDB2141AC094434E5FF0741500F4970E9DB2141F8E819B161000841978853A4B4DB2141062D7DE35E0008412348F92887DB2141E684979B44FE0741F8DC460545DB21410208BDA727FE07414F5334083CDB2141FDFD1F231DFE07417EB9452B31DB2141FA80A93727FE0741EF76CC4328DB21413721F35E3DFE07412DCE0A231CDB21418BC7DA3144FE0741EB97113413DB2141A58B281333FE0741647F49660CDB214119D06CCFE5FB0741D33431FEC7DA2141AC28771AD0FB0741E62158BFC8DA2141FE7FD402C4FB0741AFAA1687CCDA21419B4B622E00FB0741A86DBE9237DB2141BFE24F46D4FA07413222F7D545DB2141026940A9AAFA07416F8B2C1951DB214195CE42D07EFA07417178781C5CDB21419FCD63CE98FA074101F7CF8E7EDB21416BE2CB4270FA0741C7529DD289DB2141,010100002040710000114AFE124E32084188D74B1EE2D82141
10,attractiepark,11,1043.05748423,,Flamingo,Rotterdam Centraal,101732,megastation,10,24,0,6404.583333333333,5,0.20833333333333333333,14,4,3,0,3,0.583,0.167,0.125,0.000,0.000,0.125,0.144,0.088,0.014,0.018,0.000,0.000,0.024,0.610,0.095,0.126,0.000,0.000,0.169,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,010600002040710000010000000103000000010000001D000000002231188829F640F913A46F46BA1A416160724F8D29F640CEA67B6658BA1A41EC8C3956A229F640CFEF059A69BA1A4140E5C45CC629F64058E7D63D79BA1A4154CDAA40F729F640E53B347B86BA1A416F41AEC5322AF64029370CA990BA1A41798A1FEC752AF6407C481C4197BA1A4148432247BD2AF640E283D8019ABA1A41F462444E052BF640A15030B598BA1A41929500614A2BF6401685E87493BA1A415BB5BEFC882BF64010ACDB7C8ABA1A41F88D8312BE2BF6400D527D417EBA1A416A6E2EEAE62BF64078E28C646FBA1A4102046876012CF640FCEE6BA95EBA1A41F24CA36F0C2CF64098693EDE4CBA1A41BA9B8738072CF640CC3166E73ABA1A410BFAB315F22BF6405777F0B329BA1A4124C3682BCE2BF640F04904101ABA1A4121951C489D2BF64096A006DE0CBA1A41A90BE0A6612BF640836441B002BA1A41EEF3BD7F1E2BF6405BB8C90CFCB91A4142422D25D72AF64056657057F9B91A416997E51D8F2AF6408A3C19A4FAB91A41FDD335274A2AF640AF794CE4FFB91A418098376F0B2AF640E38774DC08BA1A41AB4C0575D629F64012105C0C15BA1A412540679DAD29F64045E850E923BA1A41589F48119329F640C01A75A434BA1A41002231188829F640F913A46F46BA1A41,0101000020407100003E5F8BBB936BF640F61746227CB81A41
