poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
20,0.00485436893203883495,1900,1900,FOOT,20244959,21200
81,0.01785714285714285714,980,980,BIKE,20241727,91780
160,0.00284900284900284900,660,660,FOOT,10017256,31420
230,0.00757575757575757576,77210,77200,TRAIN,20120472,87000
230,0.00549450549450549451,790,790,FOOT,20224551,43200
230,0.00549450549450549451,410,410,FOOT,20224551,43200
178,0.00343642611683848797,360,360,FOOT,10078538,34560
152,0.00384615384615384615,3130,3100,TRAM,10017422,104510
59,0.00440528634361233480,970,970,FOOT,20033935,40120
178,0.00440528634361233480,970,970,FOOT,20033935,40120
230,0.00330033003300330033,2820,2800,CAR,20222209,139150
259,0.00297619047619047619,2640,2600,CAR,10026054,34600
31,0.05263157894736842105,13060,13100,BUS,20267661,34490
81,0.00558659217877094972,830,830,FOOT,10070079,59130
206,0.02500000000000000000,2090,2100,FOOT,20078462,64300
100,0.00653594771241830065,1000,1000,FOOT,20267138,18590
253,0.00321543408360128617,950,950,FOOT,10032198,105850
163,0.00421940928270042194,3350,3400,BIKE,20009985,28330
2,0.00296735905044510386,1390,1400,FOOT,20270170,18620
41,0.00446428571428571429,4200,4200,BIKE,10044320,110900
178,0.00662251655629139073,37320,37300,TRAIN,20143309,37300
178,0.00308641975308641975,1130,1100,TRAM,20239635,30540
230,0.00295857988165680473,27660,27700,TRAIN,10076114,37680
73,0.00323624595469255663,280,280,OTHER,10025293,19680
160,0.00512820512820512821,880,880,FOOT,10064381,64180
230,0.00348432055749128920,240,240,BIKE,20275438,31360
230,0.00290697674418604651,1220,1200,FOOT,20043213,39100
41,0.00523560209424083770,3430,3400,BIKE,10038951,30160
253,0.00303030303030303030,3040,3000,METRO,20169144,42100
41,0.00276243093922651934,610,610,FOOT,20055398,39710
230,0.00330033003300330033,104500,104500,TRAIN,20222209,106600
31,0.02222222222222222222,1250,1200,FOOT,20266049,106600
31,0.02222222222222222222,1250,1200,FOOT,20266049,106600
231,0.00840336134453781513,1290,1300,FOOT,20072828,72300
129,0.00833333333333333333,1020,1000,FOOT,20275622,5400
230,0.00348432055749128920,104650,104600,TRAIN,20246089,189600
230,0.00378787878787878788,43290,43300,TRAIN,10055085,46900
1,0.00296735905044510386,1900,1900,FOOT,20190111,31110
112,0.00287356321839080460,950,950,FOOT,10076511,36450
166,0.01282051282051282051,250,250,FOOT,20249547,68150
194,0.00296735905044510386,220,220,FOOT,20204853,101960
178,0.00343642611683848797,950,950,FOOT,10078538,34520
41,0.00276243093922651934,750,750,FOOT,20055398,41150
141,0.00363636363636363636,5910,5900,BUS,10034810,33050
141,0.00363636363636363636,790,790,FOOT,10034810,33050
