poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
2,0.00606060606060606061,580,580,FOOT,10015237,219880
2,0.00632911392405063291,270,270,FOOT,20289672,79500
2,0.00505050505050505051,340,340,FOOT,10015184,37380
2,0.00632911392405063291,860,860,FOOT,20289672,109260
2,0.00505050505050505051,710,710,FOOT,10015184,37320
2,0.00662251655629139073,830,830,FERRY,20294251,73490
2,0.00505050505050505051,720,720,FOOT,10015184,37380
2,0.00317460317460317460,640,640,FOOT,10055363,237240
2,0.00317460317460317460,610,610,FERRY,10055363,234460
2,0.00421940928270042194,620,620,FERRY,20009985,26060
4,0.00317460317460317460,640,640,FOOT,10055363,237240
4,0.00317460317460317460,610,610,FERRY,10055363,234460
4,0.00632911392405063291,270,270,FOOT,20289672,79500
4,0.00632911392405063291,860,860,FOOT,20289672,109260
4,0.00662251655629139073,830,830,FERRY,20294251,73490
4,0.00421940928270042194,620,620,FERRY,20009985,26060
8,0.00421940928270042194,620,620,FERRY,20009985,26060
8,0.00606060606060606061,580,580,FOOT,10015237,219880
7,0.00628930817610062893,174610,174600,TRAIN,20012559,208300
7,0.00299401197604790419,8410,8400,TRAIN,10050779,10870
7,0.00324675324675324675,14040,14000,TRAIN,10014650,47300
7,0.01041666666666666667,930,930,BIKE,20193916,37020
7,0.00943396226415094340,32470,32500,TRAIN,20294261,61440
7,0.00297619047619047619,10460,10500,CAR,20270069,43460
7,0.01041666666666666667,28320,28300,TRAIN,20193916,81430
7,0.00299401197604790419,7950,8000,TRAIN,10050779,23670
7,0.00297619047619047619,32500,32500,TRAIN,20270069,43460
7,0.01470588235294117647,13860,13900,TRAIN,20219728,15560
7,0.01470588235294117647,850,850,BIKE,20219728,15560
7,0.00297619047619047619,23940,23900,TRAIN,20270069,34700
7,0.00297619047619047619,10770,10800,CAR,20270069,34700
7,0.00628930817610062893,25560,25600,TRAIN,20012559,208300
7,0.01470588235294117647,840,840,BIKE,20219728,15440
7,0.01470588235294117647,14560,14600,TRAIN,20219728,15440
7,0.00943396226415094340,28460,28500,TRAIN,20294261,61440
7,0.01041666666666666667,18330,18300,TRAIN,20193916,39920
7,0.00362318840579710145,6160,6200,TRAIN,20103121,6710
9,0.00423728813559322034,860,860,FOOT,20001794,21060
9,0.00423728813559322034,1060,1100,FOOT,20001794,20020
9,0.00423728813559322034,1000,1000,FOOT,20001794,20900
9,0.00423728813559322034,1120,1100,FOOT,20001794,20700
9,0.00423728813559322034,860,860,FOOT,20001794,21060
9,0.00423728813559322034,760,760,FOOT,20001794,21860
9,0.00423728813559322034,290,290,FOOT,20001794,20180
9,0.00423728813559322034,890,890,FOOT,20001794,19790
9,0.00423728813559322034,1140,1100,FOOT,20001794,21100
9,0.00423728813559322034,970,970,FOOT,20001794,20870
9,0.00518134715025906736,900,900,FOOT,10080925,15690
6,0.00381679389312977099,14460,14500,CAR,20057080,60500
