poi_id,poi_type,aantal,afstand_poi_station,loopafstand_gem,naam,station_naam,inuit,station_type,aantal_unieke_trackers,aantal_trips,aantal_trips_trein_station_buffer,journey_distance_gem,aantal_regionale_reizen,aandeel_regionale_reizen,aantal_trips_lopen,aantal_trips_fiets,aantal_trips_btm,aantal_trips_trein,aantal_trips_auto,fractie_lopen,fractie_fiets,fractie_btm,fractie_trein,fractie_trein_station_buffer,fractie_auto,aantal_trips_gewogen,aantal_trips_lopen_gewogen,aantal_trips_fiets_gewogen,aantal_trips_btm_gewogen,aantal_trips_trein_gewogen,aantal_trips_trein_station_buffer_gewogen,aantal_trips_auto_gewogen,fractie_lopen_gewogen,fractie_fiets_gewogen,fractie_btm_gewogen,fractie_trein_gewogen,fractie_trein_station_buffer_gewogen,fractie_auto_gewogen,aantal_trips_station,aantal_trips_station_lopen,aantal_trips_station_fiets,aantal_trips_station_btm,aantal_trips_station_trein,aantal_trips_station_auto,aantal_trips_station_gewogen,aantal_trips_station_lopen_gewogen,aantal_trips_station_fiets_gewogen,aantal_trips_station_btm_gewogen,aantal_trips_station_trein_gewogen,aantal_trips_station_auto_gewogen,fractie_station_lopen,fractie_station_lopen_en_trein,fractie_station_lopen_gewogen,fractie_station_lopen_en_trein_gewogen,geom_polygoon,station_geom
1,bioscoop,24,1486.95811901,,Cinema Kiek in de Pot,Bergen op Zoom,7112,stoptreinstation,22,69,0,10206.08695652174,19,0.27536231884057971014,0,15,0,0,54,0.000,0.217,0.000,0.000,0.000,0.783,0.357,0.000,0.099,0.000,0.000,0.000,0.257,0.000,0.278,0.000,0.000,0.000,0.722,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0106000020407100000100000001030000000100000011000000AA2632F1BFFBF2402EBC19B855C8174115C3849A41FDF24013B8EF3871C81741C5B77D8347FDF2406C94DE146CC817412007D3F477FDF24057ED7A806FC81741ADC383B671FDF2404451DFA474C81741DD8ACBF3C4FEF240828964138DC8174132BBAE829AFFF240F3721D66D2C717415D252E0D47FEF240903D890EBAC71741F082BF7237FEF2405BEFDEE9C7C71741799E856D03FEF24049F79726C4C71741956401D612FEF2404D3363BDB6C71741ECD5C789B2FCF2405465C8779DC71741591AE99601FCF2404010F13DE4C717410E013D156BFCF240A41E38E5EBC717415D0D43043EFCF2400C56450E13C81741CDAA65B10FFCF2408EBCC8C20FC81741AA2632F1BFFBF2402EBC19B855C81741,0101000020407100004123134ADC57F340114CF156B1CD1741
2,bioscoop,65,610.26500107,588.5714285714286,EYE Filminstituut,Amsterdam Centraal,199510,megastation,50,293,8,13708.498293515358,130,0.44368600682593856655,32,208,15,10,27,0.109,0.710,0.051,0.034,0.027,0.092,1.860,0.265,1.144,0.099,0.051,0.040,0.297,0.143,0.615,0.053,0.027,0.021,0.159,10,7,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.700,0.700,0.725,0.725,0106000020407100000100000001030000000100000015000000105B9059EFBEFD40C01F034139D31D41F226524EC8C0FD4097EB731344D31D4101BDD625FDC0FD4010DFC13C38D31D41AC09D082E7C1FD40E3F85DD9ECD21D41B1081CCE3DC2FD40EC02181CD1D21D4144597925CBC5FD404BDDE88159D21D41802B3E9CE1C5FD40F819504F56D21D411E3A534DE1C5FD405FDAF7C109D21D4176753C7F83C5FD40305D115609D21D41CEC7BC2A88C4FD40E631F70519D21D412E55F3C4BDC4FD40429F09CEFCD11D41AD0F97AB81C4FD40C1EE22DEF1D11D41721E57B668C4FD4043FFAA5EEDD11D417A3B639553C4FD40A644127DE9D11D41AC48635DB8C3FD40713094D81ED21D410C2B5294A8C3FD40FC34813A1FD21D41CCCA729B81C3FD4090D1803A20D21D417EBCB5FBB9C0FD407A389D6C32D21D41427894BBC8BFFD406B21690938D21D41CC8B207249BFFD40D77942E7BBD21D41105B9059EFBEFD40C01F034139D31D41,0101000020407100009D1E391D57BFFD40DF4E6D830CC91D41
3,bioscoop,13,1244.39952399,,Vue,Doetinchem,4410,knooppuntstoptreinstation,13,111,0,9550.9009009009,22,0.19819819819819819820,7,9,0,0,95,0.063,0.081,0.000,0.000,0.000,0.856,0.458,0.052,0.033,0.000,0.000,0.000,0.372,0.114,0.073,0.000,0.000,0.000,0.813,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,010600002040710000010000000103000000010000000F000000CE678D131F770A4109138F9E3A031B41E26BB0B343770A41658DE2CB85031B413E8773D746770A41432694398C031B41B0732E56DE770A41DAFD3DAB79031B41E4FDC557DD770A414B688C9D77031B41497FAF1C54780A417BA4ACF969031B41203A55BF75780A411E32C91666031B415801F7A9A5780A41D88A318E60031B41A30221539A780A41DCAF7CAC48031B41DBA092117F780A41F82A8E9A10031B41CE7F75D562780A41F13348FD13031B41452E5BA0F1770A41D5FF6C4321031B412C165BFED6770A4141BFF25824031B41ECC62592B6770A411751981B28031B41CE678D131F770A4109138F9E3A031B41,010100002040710000236E03CE458C0A410CDF4DCFBFF21A41
4,bioscoop,52,608.46468454,590,EYE Filminstituut,Amsterdam Centraal,199510,megastation,41,272,5,12939.926470588236,121,0.44485294117647058824,28,202,12,6,23,0.103,0.743,0.044,0.022,0.018,0.085,1.767,0.253,1.116,0.089,0.030,0.024,0.276,0.143,0.631,0.051,0.017,0.013,0.156,6,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.500,0.500,0.530,0.530,0106000020407100000100000001030000000100000020000000582BBDAF82BFFD401FC764C30AD31D418A161B1B17C0FD40210A7BA60CD31D419CFDA5155CC0FD4048E17D830DD31D415ED5EC9BA1C0FD40557BAA6B0ED31D413A94202A36C1FD405C030997DCD21D418E41795B36C1FD406049AEA7DBD21D41A3CDBC8954C1FD407C6913DFDBD21D41F1EBE09353C1FD40D517DFBAE4D21D41A293D9EDC9C1FD4074C4BF88E6D21D41D00802E254C2FD4076859B25B8D21D41240EB34358C2FD40E512BB51B8D21D411AEA497671C3FD40B71FED1491D21D41EA82421FDDC3FD40FAA0290982D21D41B6472210B7C3FD4066F253A947D21D41E8F84F6CB5C3FD408CF40F7147D21D41A8541B9EB4C3FD400F6E3AD745D21D41E40B522A95C3FD40DE322EF646D21D4166D0063993C3FD40C641149543D21D411E5A106691C3FD40FFF7138F40D21D419FB4C45F06C4FD40160CADA337D21D41976497F128C4FD401009D6B524D21D4199BC080914C4FD40160EEFEA20D21D41B2889CBD02C4FD40B184C8D41DD21D41AC48635DB8C3FD40713094D81ED21D410C2B5294A8C3FD40FC34813A1FD21D41CCCA729B81C3FD4090D1803A20D21D417EBCB5FBB9C0FD407A389D6C32D21D41CA232106A4BFFD40F758022485D21D41EECDB2D098BFFD406EE40B28B2D21D41BC4E707895BFFD409374A683BFD21D41D0EEF3D291BFFD40FBC2A7CECDD21D41582BBDAF82BFFD401FC764C30AD31D41,0101000020407100009D1E391D57BFFD40DF4E6D830CC91D41
5,bioscoop,21,342.23075607,,Cinemajestic,Zutphen,20312,knooppuntintercitystation,20,73,0,11061.369863013699,31,0.42465753424657534247,2,6,0,0,65,0.027,0.082,0.000,0.000,0.000,0.890,0.301,0.009,0.041,0.000,0.000,0.000,0.251,0.031,0.136,0.000,0.000,0.000,0.833,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,010600002040710000010000000103000000010000000600000048A3B38C89AB09417DD0B32B5A3B1C413AAF0D4BD7AC09417E0F8BA28E3B1C41B8E0146431AD0941EA408F60FF3A1C41A449600814AD094185E946C3FA3A1C414C5B6797E3AB0941B02527DECA3A1C4148A3B38C89AB09417DD0B32B5A3B1C41,010100002040710000944306EEDFA909412022D390F9351C41
6,bioscoop,122,9105.5494033,,Fabula,Tilburg Reeshof,3146,stoptreinstation,82,191,1,27322.774869109948,70,0.36649214659685863874,115,2,0,1,73,0.602,0.010,0.000,0.005,0.005,0.382,0.979,0.614,0.006,0.000,0.004,0.004,0.355,0.627,0.006,0.000,0.004,0.004,0.363,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0106000020407100000100000001030000000100000029000000F4F76F20FD090041A5FA2CFCB0D21841E992D2529F0A0041B20BE0E61DD31841A4D400D9730A004131BC57612ED31841BC960B57970A0041DC8FD53146D31841591D005D0E0B0041E0653E304AD318413F2B564B0C0B00416DF5D7C459D318412E868040100B00415C96979B5CD3184199EB6FF6150B00413876A1705DD318417A055A9E3D0B0041F1B374C55ED318418966D262470B00411EBCFF465BD31841EF3FFB7B470B0041F910F80554D318411DBC4BBB650B00413629F6C655D318414F9B80FA830B00418C97907C57D3184151CAC3277F0B0041DCAEC2BF5CD31841DB3A380E830B00416C20955D5FD318415957DC6E8A0B00418FDD1ED160D31841E9BD1C1C990B0041009BA84561D31841F4430B2FA80B00413102CAD45CD3184121108F83A70B004138F8482C62D318412C5F05B6B00B00415AE0ABD162D318411330CD8DB30B00411FBCD3F05ED318418E6BB69AB80B0041EC25303860D31841EB6C32F5BE0B0041F8F56FBC5ED31841D0707B3FC70B0041E3E6F44651D318413D501D4EC80B0041EA31710D40D318416795B470C10B00415113595B2ED31841DDED7DE5390C00411B225F3202D3184196793CC12F0C00417C733547FBD2184109A932FF2C0C0041742AAB65FCD2184110ECD3EB250C004157F74BB2F7D21841D6B67429190C0041BF9A2D23EFD218418A11A9283A0C0041DE9F1900E3D21841F2A616B3570B004153C625B548D218412E605404400B0041F783769038D218412C35F0DF1B0B0041F348A7DD45D21841644D49EA290B004190360F394FD21841FDB8CBD2FE0A0041E9B187635FD2184192BAF7F2F00A0041BECC060856D21841ED4623A6BB0A0041853131EA69D2184145094C05AE0A0041830F18056FD21841F4F76F20FD090041A5FA2CFCB0D21841,010100002040710000F4514AB1C531FF4096D0C1B78E501841
7,bioscoop,28,114.09540358,,Cinema Gouda,Gouda,25126,knooppuntintercitystation,22,87,14,21298.850574712644,29,0.33333333333333333333,15,8,0,19,45,0.172,0.092,0.000,0.218,0.161,0.517,0.702,0.100,0.110,0.000,0.146,0.101,0.346,0.143,0.157,0.000,0.208,0.143,0.492,19,0,3,0,14,2,0.1,0.0,0.0,0.0,0.1,0.0,0.000,0.737,0.000,0.687,01060000204071000001000000010300000001000000090000006B2DA18D4A6BFA40FABA72B119571B4122FE4CC14B6BFA4032071F731C571B41FE382A92516BFA4078BA724D1C571B41C455CD7C996BFA40019DCBC3B3571B41EF562A40216CFA40BAC036E4B3571B418BB9454E216CFA40AF452A5CB5571B4187AD98B0936DFA400033DEBCB5571B4174C1AFB1426DFA40E4056DAB0A571B416B2DA18D4A6BFA40FABA72B119571B41,010100002040710000C878837C4866FA401CB863F67E561B41
8,bioscoop,23,576.17660752,580,EYE Filminstituut,Amsterdam Centraal,199510,megastation,14,82,2,11839.390243902439,15,0.18292682926829268293,18,48,5,2,9,0.220,0.585,0.061,0.024,0.024,0.110,0.837,0.197,0.505,0.044,0.010,0.010,0.081,0.236,0.603,0.052,0.012,0.012,0.097,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.500,0.500,0.590,0.590,010600002040710000010000000103000000010000000F0000000C2B5294A8C3FD40FC34813A1FD21D41AC48635DB8C3FD40713094D81ED21D41B2889CBD02C4FD40B184C8D41DD21D4199BC080914C4FD40160EEFEA20D21D41976497F128C4FD401009D6B524D21D419FB4C45F06C4FD40160CADA337D21D418A771DB533C4FD40AEE5492E34D21D415EB7845980C4FD406A52984F2ED21D415FCDFE057FC4FD40CCA3DC992DD21D419F49A98B79C5FD4026862F6BAAD11D4124A990D96CC5FD409685EF36A8D11D414295F62A5FC5FD4050AA23CAA5D11D410024A5CFF5C4FD402EFA65CBC9D11D41B2AAC998E5C4FD40022C050EB2D11D410C2B5294A8C3FD40FC34813A1FD21D41,0101000020407100009D1E391D57BFFD40DF4E6D830CC91D41
9,bioscoop,13,739.02995042,895.4545454545455,Kijkhuis,Leiden Centraal,82689,knooppuntintercitystation,12,41,10,22079.024390243903,19,0.46341463414634146341,15,4,1,11,10,0.366,0.098,0.024,0.268,0.244,0.244,0.147,0.050,0.011,0.005,0.048,0.043,0.033,0.341,0.077,0.035,0.324,0.295,0.222,11,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,1.000,1.000,1.000,01060000204071000001000000010300000001000000090000006623465EA8D5F640CA5F002FBB521C41F2162F76C5D5F6405D96E7B7DB521C41EA486D68E4D5F640B75D794BFE521C41E0D0D6D44CD7F640F6F20CFFE9521C4182478E1B4ED7F6405F95563CE9521C416CDDEC4DDDD6F640E35BE8FAD6521C41D6F7BA1B2CD6F6404DC91537B7521C41DC45CC2F0DD6F640536F7DE1B1521C416623465EA8D5F640CA5F002FBB521C41,0101000020407100003EE17C916DB7F640E792C977715B1C41
10,bioscoop,62,1832.02738266,,Foroxity,Geleen-Lutterade,2008,stoptreinstation,58,414,0,8551.932367149759,80,0.19323671497584541063,10,18,0,0,386,0.024,0.043,0.000,0.000,0.000,0.932,1.789,0.032,0.067,0.000,0.000,0.000,1.690,0.018,0.037,0.000,0.000,0.000,0.945,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0106000020407100000100000001030000000100000042000000DD1186ED98D90641ACD6E69FC05114415B39BA9524DA0641AEBF825D23521441C3A28CD9C8DA0641A103743AE95114419CBDEEDE01DB06412FF6B28011521441C922BE794BDC064167F839D59C5114416FE4FF8F39DC06417A74CCDB85511441A4B9CDC843DC0641F4B097118651144199CC032053DC06414A74CCC28551144136CB0A5D62DC0641D8CBDCA68451144127F0AF5E67DC0641E82C2F22845114415B39D63771DC0641EA25F3C882511441D67615F57ADC0641C83A462B815114414DA607FC88DC0641BB0E1B197E5114414A69C68C8DDC06411C7030E97C511441417D136796DC0641DCDA2B507A511441D4AB91DD9EDC0641B77B7C7277511441F5C007EEA2DC0641085507E775511441149237A9ADDC06411093435A715114417CDBA471B7DC06411A7507446C511441A0FD66B0BBDC0641EC7016BE69511441944A726EBFDC064160BAC7FE66511441AACB1B9DC2DC0641EA56D81C64511441E8928461C4DC0641FE48391262511441386F6A71C6DC0641408908EB5E511441322F68E3C7DC064141D48FAC5B51144120A43D7AC8DC06414CBDD07E59511441943AEEBAC8DC0641F3E0674557511441A97D028CC8DC0641CC1D3BFA535114419A9C83B0C7DC0641966B83AE50511441516CACB4C6DC06419727807F4E5114418378057FC5DC0641FA2F17674C5114414EDC6936C1DC06411DF7380D49511441B86009FBBDDC06417A382FF34651144118D25277BADC06412A8218FB44511441C0DE6AABB6DC0641478790194351144170C269A5B2DC0641B1776B6541511441352C7465AEDC0641E30545D33F511441CC1BEA9FA7DC06416C52C6C13D5114410C785CFD9DDC0641E360CC8B3B51144170479E6B96DC0641E8C6815D3A511441C0B5180A8CDC064160FCE9653951144128D2FE7A81DC064189B7D82F395114412EFE178E79DC0641B4289B843951144101F3938E62DC06419B5D652E3B5114416162677E5DDC064191BC6BBE3B511441CDF8565D53DC0641F20E6E173D51144126A911694EDC06410675E5EB3D51144166B4037846DC06410106058B3F511441E6D21CE13FDC0641903B7CDB40511441A6D1700332DC064137E2E28144511441CA5DCD3629DC06418E43E9534751144192E776CB1CDC06414E9248184C511441D49EC70D15DC06413CC76FA14F511441DD4EFC6011DC06411080F47C515114412ABC02D901DC0641B57CFB303D5114417CA03A04C1DB064181735D4DE85014419A7B57F6BCDB064132DFC50BE9501441A63E3D39C0DB0641F415A948ED50144165263E958CDB0641F1D7C82DF7501441FF7A816F37DB06410A8D407707511441CADD8BC622DB0641346929F0F850144178A8196504DA0641089C864D5E511441FE08B1A915DA064158D78D0F6A511441FE3F594E3DDA0641DA91787186511441CCA890EA2EDA064183FD6A8F8B511441DD1186ED98D90641ACD6E69FC0511441,010100002040710000DE306B2D09AC0641A7438A0B3E411441
