poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
49,0.01204819277108433735,2830,2800,BIKE,10040239,116700
8,0.00294117647058823529,1520,1500,BIKE,10008065,30240
77,0.00400000000000000000,630,630,FOOT,20088242,83130
73,0.00418410041841004184,9830,9800,CAR,10054772,75130
29,0.00418410041841004184,9830,9800,CAR,10054772,75130
69,0.00338983050847457627,500,500,FOOT,20018196,110400
29,0.00628930817610062893,9370,9400,TRAIN,20012559,166700
11,0.00781250000000000000,1520,1500,FOOT,10039597,20500
3,0.00613496932515337423,1010,1000,FOOT,20068034,73310
26,0.00787401574803149606,1000,1000,FOOT,20266463,43100
42,0.00421940928270042194,620,620,FERRY,20009985,26060
48,0.00421940928270042194,620,620,FERRY,20009985,26060
31,0.00316455696202531646,11620,11600,CAR,10081241,82600
31,0.00306748466257668712,1180,1200,FOOT,20277698,59200
43,0.00330033003300330033,720,720,FOOT,20181253,81920
77,0.00500000000000000000,1490,1500,FOOT,20152040,190800
30,0.00282485875706214689,18700,18700,CAR,20244777,122140
75,0.00884955752212389381,3770,3800,TRAM,10034069,88400
31,0.00476190476190476190,1320,1300,FOOT,20282025,42600
29,0.00473933649289099526,4950,5000,CAR,20093173,30250
73,0.00324675324675324675,3180,3200,FOOT,20032244,35200
29,0.00324675324675324675,3180,3200,FOOT,20032244,35200
31,0.00276243093922651934,820,820,FOOT,10022869,110220
11,0.00348432055749128920,1530,1500,FOOT,10081411,21730
8,0.00310559006211180124,470,470,FOOT,10071510,323030
31,0.00328947368421052632,1220,1200,FOOT,10051771,38480
47,0.01785714285714285714,280,280,FOOT,10071311,87100
53,0.00321543408360128617,10500,10500,TRAIN,10084763,14490
73,0.00277777777777777778,3500,3500,TRAIN,20101178,18600
29,0.00277777777777777778,3500,3500,TRAIN,20101178,18600
73,0.00281690140845070423,920,920,FOOT,20188700,52140
29,0.00281690140845070423,920,920,FOOT,20188700,52140
73,0.00281690140845070423,1020,1000,BIKE,20188700,52140
29,0.00281690140845070423,1020,1000,BIKE,20188700,52140
25,0.00401606425702811245,1320,1300,FOOT,20118877,38010
52,0.00529100529100529101,11040,11000,CAR,10015128,151300
70,0.00341296928327645051,720,720,FOOT,20286228,120820
75,0.00671140939597315436,3570,3600,TRAM,10013688,17900
59,0.00636942675159235669,1040,1000,FOOT,10037056,9500
21,0.00299401197604790419,200,200,FOOT,10009720,65000
73,0.00800000000000000000,740,740,FOOT,20091749,69940
29,0.00800000000000000000,740,740,FOOT,20091749,69940
25,0.00401606425702811245,750,750,FOOT,20118877,37320
29,0.00298507462686567164,3270,3300,BUS,20243522,128470
29,0.00282485875706214689,9200,9200,TRAIN,10005386,16700
66,0.00375939849624060150,920,920,TRAIN,20237464,1840
66,0.00375939849624060150,920,920,TRAIN,20237464,1840
