poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
72,0.00628930817610062893,3180,3200,BIKE,20012559,106000
110,0.00675675675675675676,3180,3200,FOOT,10062750,46400
16,0.00512820512820512821,3780,3800,BUS,20191499,50650
51,0.00346020761245674740,3650,3600,CAR,20039089,24280
110,0.00301204819277108434,1170,1200,TRAM,20259656,19110
115,0.00413223140495867769,29600,29600,CAR,20239810,143360
16,0.01030927835051546392,20860,20900,TRAIN,20293146,24400
110,0.00549450549450549451,1260,1300,FOOT,20286040,34800
86,0.00285714285714285714,3680,3700,BIKE,20241408,35700
44,0.00568181818181818182,660,660,FOOT,20273539,16260
15,0.00303951367781155015,690,690,FOOT,20097541,31790
115,0.00280112044817927171,3130,3100,BIKE,20273442,21700
7,0.00480769230769230769,980,980,FOOT,10007213,11580
7,0.00480769230769230769,930,930,FOOT,10007213,11830
41,0.00684931506849315068,1670,1700,BIKE,10069922,40900
110,0.00675675675675675676,3070,3100,FOOT,10062750,46400
39,0.00374531835205992509,3430,3400,CAR,10082157,23500
41,0.00295857988165680473,590,590,FOOT,20259657,15990
73,0.00763358778625954198,2030,2000,TRAM,10083305,62680
16,0.01030927835051546392,20040,20000,TRAIN,20293146,23400
110,0.00301204819277108434,3280,3300,BIKE,20191117,50200
15,0.00444444444444444444,420,420,BUS,20269919,4820
49,0.00434782608695652174,430,430,FOOT,20265875,9130
110,0.00301204819277108434,550,550,FOOT,20259656,18350
23,0.00694444444444444444,3040,3000,CAR,10009272,23650
44,0.00636942675159235669,720,720,FOOT,10081640,21520
110,0.00675675675675675676,580,580,FOOT,10062750,47180
26,0.00444444444444444444,7010,7000,LIGHTRAIL,20269919,77800
7,0.00480769230769230769,960,960,FOOT,10007213,10180
86,0.00303030303030303030,3150,3200,CAR,20275943,64500
110,0.00301204819277108434,1830,1800,METRO,20191117,53100
76,0.00377358490566037736,680,680,FOOT,10083439,36640
110,0.00301204819277108434,16880,16900,TRAIN,20259656,19700
91,0.00448430493273542601,2770,2800,CAR,20276478,26600
68,0.00427350427350427350,680,680,FOOT,20060526,26080
110,0.00301204819277108434,1190,1200,BIKE,20259656,19200
16,0.01030927835051546392,20200,20200,TRAIN,20293146,23600
16,0.01030927835051546392,2140,2100,METRO,20293146,24320
57,0.00436681222707423581,4430,4400,BUS,10022617,33500
93,0.00333333333333333333,1350,1400,BIKE,20224440,27600
61,0.01176470588235294118,7550,7600,BUS,10011563,37420
95,0.00425531914893617021,3510,3500,BIKE,20155119,30580
102,0.00310559006211180124,3560,3600,BIKE,10007629,156600
42,0.00301204819277108434,2330,2300,METRO,20191117,44400
7,0.00302114803625377644,1090,1100,FOOT,20104710,13000
7,0.00480769230769230769,1030,1000,FOOT,10007213,11600
93,0.00333333333333333333,1570,1600,BIKE,20224440,27700
68,0.00427350427350427350,690,690,BIKE,20060526,24890
107,0.00288184438040345821,890,890,FOOT,10014624,13820
69,0.00367647058823529412,2020,2000,FOOT,20250705,33790
64,0.00294985250737463127,4110,4100,CAR,20098815,35100
41,0.00282485875706214689,1420,1400,BIKE,20017216,24600
15,0.00636942675159235669,300,300,FOOT,20040083,20230
41,0.00684931506849315068,1560,1600,BIKE,10069922,40700
110,0.00301204819277108434,3540,3500,BIKE,20259656,18500
7,0.00480769230769230769,930,930,FOOT,10007213,11530
7,0.00480769230769230769,930,930,FOOT,10007213,11630
42,0.00301204819277108434,350,350,FOOT,20191117,45250
110,0.00434782608695652174,880,880,FOOT,20265535,48620
86,0.00378787878787878788,3630,3600,CAR,10010138,90500
110,0.00301204819277108434,3920,3900,BIKE,20191117,48900
110,0.00301204819277108434,530,530,FOOT,20191117,58030
49,0.00285714285714285714,2610,2600,BIKE,20241408,74500
110,0.00301204819277108434,580,580,FOOT,20259656,18110
26,0.00869565217391304348,6220,6200,CAR,20224838,17100
23,0.00694444444444444444,3120,3100,CAR,10009272,24220
41,0.00282485875706214689,960,960,FOOT,20017216,27500
110,0.00301204819277108434,1090,1100,TRAM,20259656,16900
7,0.00480769230769230769,960,960,FOOT,10007213,11560
93,0.00333333333333333333,1460,1500,CAR,20224440,27700
110,0.00301204819277108434,4290,4300,BIKE,20259656,19000
15,0.00636942675159235669,300,300,FOOT,20040083,20310
110,0.00301204819277108434,1390,1400,TRAM,20259656,17300
110,0.00675675675675675676,470,470,FOOT,10062750,46870
41,0.00684931506849315068,1290,1300,BIKE,10069922,39000
76,0.00377358490566037736,4360,4400,BIKE,10083439,36640
110,0.00301204819277108434,1340,1300,CAR,20259656,17000
42,0.00301204819277108434,340,340,FOOT,20191117,44840
16,0.00512820512820512821,4570,4600,BUS,20191499,62740
110,0.00313479623824451411,5170,5200,BIKE,10077806,25380
41,0.00282485875706214689,1420,1400,BIKE,20017216,28800
110,0.00675675675675675676,570,570,CAR,10062750,47270
86,0.00285714285714285714,3380,3400,BIKE,20241408,34470
95,0.00335570469798657718,1840,1800,CAR,20043650,50860
26,0.00444444444444444444,7160,7200,LIGHTRAIL,20269919,44400
49,0.00497512437810945274,850,850,FOOT,10049978,25750
16,0.00378787878787878788,1840,1800,BIKE,10055085,95000
110,0.00675675675675675676,3100,3100,FOOT,10062750,45800
57,0.00325732899022801303,5130,5100,BUS,10018837,10500
110,0.00434782608695652174,680,680,FOOT,20265535,49270
91,0.00448430493273542601,2720,2700,BUS,20276478,27200
44,0.00943396226415094340,490,490,FOOT,10026330,65190
110,0.00301204819277108434,1060,1100,BIKE,20259656,16100
15,0.00636942675159235669,13940,13900,TRAIN,20040083,19870
110,0.00549450549450549451,1310,1300,FOOT,20286040,34380
68,0.01123595505617977528,1700,1700,CAR,20004254,15200
86,0.00285714285714285714,2980,3000,BIKE,20241408,34940
18,0.01470588235294117647,570,570,BIKE,10006295,28770
110,0.00301204819277108434,3610,3600,BIKE,20259656,18100
86,0.00285714285714285714,3160,3200,BIKE,20241408,32900
41,0.00684931506849315068,1210,1200,BIKE,10069922,42400
107,0.00288184438040345821,920,920,FOOT,10014624,13320
110,0.00301204819277108434,1110,1100,TRAM,20259656,16900
32,0.00781250000000000000,6770,6800,CAR,10000688,134190
15,0.01219512195121951220,1380,1400,FOOT,20205873,89800
110,0.00301204819277108434,320,320,FOOT,20191117,50220
7,0.00492610837438423645,2370,2400,BIKE,20275521,12400
88,0.00299401197604790419,720,720,FOOT,10050779,9260
110,0.00675675675675675676,630,630,BIKE,10062750,45980
16,0.00512820512820512821,2820,2800,BIKE,20191499,59840
110,0.00301204819277108434,4110,4100,BIKE,20259656,18240
22,0.00290697674418604651,1050,1000,FOOT,10079253,105600
18,0.00369003690036900369,790,790,FOOT,20269990,111990
14,0.00310559006211180124,1970,2000,BUS,10000087,195780
86,0.00285714285714285714,3150,3200,BIKE,20241408,35930
68,0.00427350427350427350,700,700,BIKE,20060526,23000
86,0.00285714285714285714,2850,2800,BIKE,20241408,33820
22,0.00290697674418604651,1080,1100,FOOT,10079253,103900
42,0.00386100386100386100,5090,5100,BIKE,20241094,14950
15,0.00636942675159235669,510,510,FOOT,20040083,28280
41,0.00282485875706214689,1450,1400,BIKE,20017216,27100
41,0.00295857988165680473,770,770,FOOT,20259657,15370
91,0.00448430493273542601,2830,2800,BUS,20276478,28100
110,0.00301204819277108434,1080,1100,TRAM,20259656,17400
110,0.00301204819277108434,570,570,FOOT,20259656,15870
110,0.00301204819277108434,1440,1400,FOOT,20259656,19200
107,0.00288184438040345821,930,930,BIKE,10014624,13330
110,0.00549450549450549451,1020,1000,TRAM,20286040,35150
7,0.00480769230769230769,970,970,FOOT,10007213,12070
15,0.00636942675159235669,300,300,FOOT,20040083,20350
49,0.00285714285714285714,2580,2600,BIKE,20241408,74400
15,0.00636942675159235669,13960,14000,TRAIN,20040083,20100
41,0.00282485875706214689,1460,1500,BIKE,20017216,28200
