poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
4,0.00384615384615384615,690,690,FOOT,10017422,95720
4,0.00384615384615384615,730,730,FOOT,10017422,71020
4,0.00384615384615384615,690,690,FOOT,10017422,79470
4,0.00384615384615384615,670,670,FOOT,10017422,55740
4,0.00384615384615384615,7010,7000,BIKE,10017422,56500
4,0.00384615384615384615,680,680,FOOT,10017422,55120
14,0.00276243093922651934,190,190,FOOT,20241743,29330
3,0.00278551532033426184,310,310,BIKE,10023648,90580
3,0.00278551532033426184,6050,6000,CAR,10023648,91000
7,0.01086956521739130435,500,500,FOOT,20281034,23430
7,0.01086956521739130435,460,460,FOOT,20281034,23510
7,0.01086956521739130435,9620,9600,BUS,20281034,26900
7,0.01086956521739130435,1090,1100,FOOT,20281034,25400
