poi_id,poi_type,aantal,afstand_poi_station,loopafstand_gem,naam,station_naam,inuit,station_type,aantal_unieke_trackers,aantal_trips,aantal_trips_trein_station_buffer,journey_distance_gem,aantal_regionale_reizen,aandeel_regionale_reizen,aantal_trips_lopen,aantal_trips_fiets,aantal_trips_btm,aantal_trips_trein,aantal_trips_auto,fractie_lopen,fractie_fiets,fractie_btm,fractie_trein,fractie_trein_station_buffer,fractie_auto,aantal_trips_gewogen,aantal_trips_lopen_gewogen,aantal_trips_fiets_gewogen,aantal_trips_btm_gewogen,aantal_trips_trein_gewogen,aantal_trips_trein_station_buffer_gewogen,aantal_trips_auto_gewogen,fractie_lopen_gewogen,fractie_fiets_gewogen,fractie_btm_gewogen,fractie_trein_gewogen,fractie_trein_station_buffer_gewogen,fractie_auto_gewogen,aantal_trips_station,aantal_trips_station_lopen,aantal_trips_station_fiets,aantal_trips_station_btm,aantal_trips_station_trein,aantal_trips_station_auto,aantal_trips_station_gewogen,aantal_trips_station_lopen_gewogen,aantal_trips_station_fiets_gewogen,aantal_trips_station_btm_gewogen,aantal_trips_station_trein_gewogen,aantal_trips_station_auto_gewogen,fractie_station_lopen,fractie_station_lopen_en_trein,fractie_station_lopen_gewogen,fractie_station_lopen_en_trein_gewogen,geom_polygoon,station_geom
444,sport,52,381.44604118,861.6867469879518,Sportcomplex De Dop,Purmerend Overwhere,2046,stoptreinstation,38,485,207,26318.78350515464,359,0.74020618556701030928,71,15,1,304,94,0.146,0.031,0.002,0.627,0.427,0.194,1.678,0.217,0.058,0.003,0.962,0.646,0.438,0.129,0.035,0.002,0.573,0.385,0.261,304,83,11,0,207,3,1.0,0.2,0.0,0.0,0.6,0.0,0.273,0.954,0.246,0.918,01060000204071000001000000010300000001000000340000001440E1E215DDFE40BD27BC9CD6B01E4180B8012A7CDDFE4024523DD6E2B01E41FD4098C630E0FE4069B1BA183EB11E4127102AEBD3E0FE40021BC36C63B11E41B9459EF5FDF0FE40ED9650D47DB31E419DF6F8F8C3F1FE4084A9DAC195B31E41BA6FECD0EEF1FE40B9914DC667B41E4136D8D5F6DDF1FE400806DA6483B41E41AEEB7223C3F1FE40018FF08BA4B41E410E322B0754F1FE404914525B53B51E41892DA057CFF0FE4085573A7908B61E415B77AF23AAF0FE40231AE40327B61E417A34DED314EDFE404F174170ADB81E4191B778FFECECFE4089532F1DD9B81E417F7F80DFC8EDFE407CD70E40EEB81E41BB2E146872F3FE40EE5AADAF11B91E41BAEF72C056F6FE406F25082536B91E4120B4B99B8AF6FE40B532A8F11BB91E4110A138C3D2F6FE4067852CE718B91E41F7D6549B10F7FE40B8C12EAB1FB91E41037D7EF287F7FE40C264734F28B91E4193BE602ACAF7FE40788B84A42BB91E415A92787A0AF8FE407C8F6D652CB91E41A03629BC34F8FE407A5FB50428B91E4191704F5779F8FE40394E588A26B91E41E84DD83B96F8FE40BA2755AD26B91E413D2C02BAF9F8FE409D8861C92BB91E41715CAD9C33F9FE40D2BF00F126B91E41C7DC941B53F9FE409F43B02D22B91E4179DCDC70D5FEFE40FE696D67B9B51E417D6747ABAD01FF40981B6E2800B61E410782C8695B03FF400889AAA629B61E41A8A303C3EF03FF40880C2BC3C4B51E41B75201E71204FF400756627BAFB51E415AB942E22E08FF4035844F1DE0B21E41B4E517F6CF07FF4087DC06E7D6B21E41154421DD1102FF40D66B0C2844B21E41D3D9612EBAF4FE40E52F420AE6B01E4195296D230FF4FE404A5ED586D4B01E41C2ECB267A2E1FE404EA56987F9AE1E410C6B3AB614DFFE405795DBCDB7AE1E413ED63F0FF9DEFE407E587ACDB9AE1E41E71912EEE1DEFE408899D2C6BEAE1E419B9BCC12DEDEFE40C4AF21C5C5AE1E413EF1E5E1DBDEFE4065D23BA5C9AE1E4189E11C5BE5DEFE40A0B8EBACD8AE1E417F49BE23A4DDFE400A4408A792AF1E41CC93F8F40DDEFE40B676A4E3AAAF1E4150A9605B45DEFE402F4A270DB9AF1E41D57F367157DEFE400BE97567C9AF1E415760E2A94DDEFE4041C0D2A6E0AF1E411440E1E215DDFE40BD27BC9CD6B01E41,010100002040710000DD91C2C24BE6FE40BE27D2E9F4AE1E41
383,sport,378,3516.41191628,670,Sportpark Aalsterweg,Eindhoven,68154,knooppuntintercitystation,201,1581,35,19049.22833649589,712,0.45034788108791903858,56,403,0,38,1084,0.035,0.255,0.000,0.024,0.022,0.686,8.728,0.254,2.259,0.000,0.191,0.173,6.023,0.029,0.259,0.000,0.022,0.020,0.690,38,1,15,13,0,9,0.2,0.0,0.1,0.1,0.0,0.0,0.026,0.026,0.034,0.034,01060000204071000001000000010300000001000000130000000097885695A103413C6EB9B1CA39174139EA881FF9A103410433131EB93C1741EBE4A4589EA1034110C69B12D13E1741E139BC20F2AA03416EED7BFE963F17413749DA1C47AD03414C223F17BB3F1741050B4BED80B30341BE402EF5243F1741D4461CCA88B10341003623C6CA38174104353B3AE5B90341F864D6043738174134E1BCF0C6B903415307D264A537174108D1E1207DB903419F6D7829A93617413872A4AF8CB903418D56A5A1F235174114BF20B7D9B70341C80214DEA630174125BCB387BCB30341DA13C300F330174126870FB7E8B303410C545CC6B43017416A2E60E30FB503419A95F835A62E1741218B729D0FB503416152746B782E174109BACA0208B50341414153EA6F2E17416E5AA60EE3A60341B965142A3B2C17410097885695A103413C6EB9B1CA391741,010100002040710000A22621BD60B803411C5096C1016D1741
380,sport,17,3406.30291728,,Fontys Sporthogeschool Eindhoven,Eindhoven,68154,knooppuntintercitystation,13,67,24,29029.55223880597,36,0.53731343283582089552,4,8,0,24,31,0.060,0.119,0.000,0.358,0.358,0.463,0.395,0.020,0.081,0.000,0.119,0.119,0.175,0.050,0.206,0.000,0.301,0.301,0.443,24,0,12,8,0,4,0.1,0.0,0.1,0.0,0.0,0.0,0.000,0.000,0.000,0.000,01060000204071000001000000010300000001000000060000008E313D1231B3034184F07AB37637174170A53E1D78B30341D902BC095F3817416327FBCF09B60341669F44AE2C38174192ED43E3C2B50341C69C0F7A44371741835E14CA91B50341B0275F3A483717418E313D1231B3034184F07AB376371741,010100002040710000A22621BD60B803411C5096C1016D1741
15,sport,74,1673.55656016,1900,Sportpark de Braak,Helmond,7833,knooppuntintercitystation,43,789,20,8428.960709759189,144,0.18250950570342205323,38,311,0,21,419,0.048,0.394,0.000,0.027,0.025,0.531,6.196,0.227,2.052,0.000,0.154,0.147,3.762,0.037,0.331,0.000,0.025,0.024,0.607,21,5,16,0,0,0,0.2,0.0,0.1,0.0,0.0,0.0,0.238,0.238,0.215,0.215,01060000204071000001000000010300000001000000240000008545DDE28B580541B6FB381FA0B81741BDF022A8635A0541B933F57A9CB917410268B3FA3C5B054142DB0C61F7B917417DB3D0E7805B05417C6F346017BA1741FBCD7261425D05412563F7E6B0BA17411CDE6F13EC5E05411DD58F5626BB17418C051991C15F054172E0A8CC55BB1741FA53D2B9036005418D2B601B43BB17417449FE8AAD6005417E28408264BB17419B467072BA600541191C42CA7EBB1741AA20A2A5D1600541B3E2E60689BB1741AFFD44BAEA6005414A6AEB5594BB17414D8FD175E064054104CE44C88BBC17416A92CA7EF165054102F3B6BBC3BC1741ACB39F1F1866054154B6D5BB98BC1741B78BCB2FB2670541347D875AD0BA17411C2B5B550368054107BF3951E2BA17412DF683A7D8680541DA743D9B11BB17414CCB03D066690541F65E931631BB17412AA89710DD690541193556454BBB174183DB42A4686B054178FD42E4A2BB1741C2F4085E886B0541FF7B47F1A9BB1741AC2213C0FE6D05415019CADD88B81741BFAF624D336C05417ED807E82BB8174187D548E2BD6905411DBBB504A4B71741EF3B5A85A56905414AB4F8A384B717415792A4CF9A64054155E091B360B61741B453BDAA7B5F05415849643B3DB51741C591F8A2605E05415557492389B61741F3DB14B8C05C05418200AE95EDB51741F85804D89B5C0541D5B918CCEAB5174120F3756E975C0541182DF8A2EDB5174172D7A6B7595C05415E58160815B61741CF580ADC025C054110ED73F44DB61741AA3AF1E9F0590541486FB981CAB717418545DDE28B580541B6FB381FA0B81741,0101000020407100001F8523173B400541DEE967C683A51741
478,sport,33,617.73268668,740,Sportpark Goed Genoeg,Amsterdam RAI,4842,stoptreinstation,17,70,14,34909.857142857145,37,0.52857142857142857143,4,25,4,19,18,0.057,0.357,0.057,0.271,0.200,0.257,0.470,0.016,0.305,0.012,0.058,0.044,0.080,0.033,0.648,0.025,0.124,0.093,0.169,19,5,0,4,8,1,0.1,0.0,0.0,0.0,0.0,0.0,0.263,0.684,0.252,0.657,010600002040710000010000000103000000010000000E000000319406EE2C5EFD408AA9F0836F801D417FAA75913A5EFD40081426E731821D412E9528433B5EFD405DA5669A4A821D410AE542789679FD40ADA4334359821D41CCF2FC05C579FD40F452986C3E801D410DFD3AFA0074FD40A246203745801D419EEF2D97336CFD402A94B45C49801D4166276028336CFD4060F6DFD264801D41D3EDDC26AE68FD40462B3B1564801D4162DB988BBF64FD408602B6C269801D413E470498CA62FD40012BBDE76A801D41EA65B100B361FD40F81B66876B801D41A03C4D845660FD4082CB27136D801D41319406EE2C5EFD408AA9F0836F801D41,0101000020407100001460E0D7CB92FD4036236E4BB0801D41
497,sport,12,8146.30254158,624.5454545454545,Sportpark Hasselt,Zwolle Stadshagen,598,stoptreinstation,12,72,7,35156.11111111111,48,0.66666666666666666667,10,4,8,18,32,0.139,0.056,0.111,0.250,0.097,0.444,0.544,0.051,0.257,0.029,0.064,0.025,0.143,0.094,0.473,0.053,0.118,0.046,0.262,18,11,0,2,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.611,0.611,0.611,0.611,010600002040710000010000000103000000010000007A0000005731F5B561C50841EECC20B0D4411F416A50A5B6FAC6084116012A6620421F4197F417C230C608412CCF8B3539431F41DB4D4F19EEC6084181D7DA038D431F412E3FD7A15DC70841ACEA39C1D3431F41AE05DCD9AFC70841EF589621FE431F41357E7E55D8C708413E741CDA14441F41EC717F5AF2C708414DAABABB22441F412A3C32A5FEC708413736F97F2E441F41B81D8F3105C808411239A86D42441F4195C04774F4C70841F6840E3855441F41615CDAB9EEC70841081D3CE764441F41D6625199F5C70841EE9EAC657E441F4113A195EDF4C70841706537808A441F4136935491EAC708418B72352193441F4136D65709D4C70841217389E394441F412489426EE8C7084139A65AF6AF441F41EFD3E1DD37C80841F0030E2F2E451F41DF1A5B4149C808411BEEA54829451F41FAF14EFD61C80841BE19C78328451F415EE2411E74C808416069E5A22F451F4148BD4C3983C80841E0592CE138451F417D9E995B9DC80841BB90187D51451F414DC04B44C7C808414E0431BA85451F41AE42AC02EBC808414DA6B7FBBB451F413FD3D3AC02C9084131B5B574E9451F419EB238BD0BC90841083CF0A31A461F410C679BE119C90841492571C628461F4190FAB7772BC908418E2EE4E42F461F4126A5F2226FCA08412A9FFF8C7D461F41156853BFB3CA08412EB9EB2C8C461F41972E1656A0CA08411F837708A8461F415FDB6671DBCC084131EC5B2133471F41D01A4DF244CD08416638A8DD4D471F4112B9CE2318CE08412AFC10557F471F417BE657CE8ACE0841E72AEAB19C471F41765695D490CE08416ED8789099471F41C058ACA095CE084196B1D7ED8F471F4138DCFFB6A8CE08419A3FE65787471F41B3FB360BBECE08418E52914D8E471F41EF68260049CF08418D769E19AE471F4192BC85EA5CCF08416E1F89C1AF471F4187BC63F170CF0841B52B74C2AB471F41D2B9B9598BCF0841920B22CC9A471F4108C043BFE7CF08415A6BAB0F39471F4107EE31B7ECCF084115CF448034471F4176EFB9A3F2CF08410C3427F830471F41DC2AC12AFDCF0841900EE66530471F41A8539F9D07D008414A89991231471F41119121FA25D00841C810E8080D471F41D4443ADD18D00841C51A5C8304471F41C6A480B781D00841C0CE393090461F41DE0C6A6D60D0084118EF263C88461F418A0D926643D008410197244881461F41C4056A31E7CF08417143CC486B461F41B5B5E091BFCF0841FBDAB92360461F41E42E635BB2CF0841BF7B96EE59461F41BA2A8B2751CF084176B38B4F44461F41E483BFB839CF0841D8FBF4903F461F41BF5AF9574ACF0841F980C48C2A461F41F0D8A6812DCF0841DC06C93722461F4144F1A9F82CCE0841EF89A1C7E6451F416270C05BBACE08417E31E3273E451F41D411D8FA9ACE0841EF4F24AB11451F41C74CAE3B7BCE08410EC8CD99E4441F41A2BBF569E9CD0841E03245CC15441F4137B82AFACACD08416B5F8A971C441F413A59866089CD0841D231131BF9431F4142B1076382CD0841DB799F6CE8431F41D716403680CD0841686D22BBDD431F41802DD21D66CD08413EAE21BAC8431F415E43149748CD0841BB34D48BBF431F414E77282F35CD08413A1ED9F9B9431F41CA2E772A19CD0841B192440DB4431F41B99C721BF7CC084133EDBF4CAF431F4117A28152D0CC084170B58C4CA8431F41A17206F27DCC0841E67F8438B2431F419E0A50E076CC08411920818BA5431F4105385F705ACC084145C19CE6A9431F416C5269804CCC0841584478978E431F41CF25CC486FCC084119F9485487431F41903F0E5E52CC084198FF99205F431F417550653AE0CB0841A67FC9D773431F41B3BBA0EBBFCB08418ABFE94A79431F41C985BF81A9CB0841B689F98F7A431F4144C6291490CB08419015C6BF7A431F4104D084755ACB0841DE62084E78431F415EB3282831CB0841F29F617E72431F413EFE28B834CB084195CE3AF35F431F4107A7E234C8CA0841235E375046431F412669BA9FD0CA08417E0441463D431F4103C70D83A6CA0841D91A12C331431F417F445AC088CA0841F53D1E1B50431F412003C8333ACA0841CDE4E1B63C431F41AFFA7888ABCA0841B22A8ADAC9421F41B2754D0C98CA084158958E87C5421F4156E985D7A9CA084191E8DB8AB1421F415EE3B0D0BBCA08416BB9BF44AD421F418ACF26D9DBCA08416AE694A389421F417DF5584FB4CA0841BE4BA65C8D421F417E8C31B579CA08410DD2E35882421F41DD71D35671CA08413453609D80421F41DA1B8F3CB7CA08413E58B6802F421F4186FE763FFFCA08417666EE85F4411F4124FB3EA20BCB0841B611592AE8411F411A8B477707CB0841187670CBDC411F418EF29AC0EECA0841A83F8169D1411F41DBF2826DD6CA08417DD63DC8C2411F4172F8B59BC7CA0841F908542EA8411F4131F9246FD2CA084182E364A28A411F4108F8DB7C0CCB08417C7A1E172D411F41BF3073DD23CB084137EC264B00411F41E261D01120CB084120916485F2401F4171315A94FECA0841B57B9511E4401F418E3ADE6287CA0841857CDE0CCD401F41C088C65AAEC908414A9821BAA4401F41D6EFD61A0CC90841965D190F91401F410E3F1E30DDC808418E99E8BB8C401F41B20AF5046FC808419580656B7F401F41B24BCB56DEC60841E01D137137401F41720622FA40C6084161706D0D92401F415731F5B561C50841EECC20B0D4411F41,01010000204071000001F16282366C0841CB8E1241D3CD1E41
46,sport,35,515.0526967,770,Sportpark Buitenveldert,Amsterdam Zuid,68699,intercitystation,25,61,12,47644.59016393442,50,0.81967213114754098361,3,6,2,18,32,0.049,0.098,0.033,0.295,0.197,0.525,0.262,0.008,0.020,0.012,0.067,0.044,0.155,0.032,0.078,0.044,0.254,0.169,0.591,18,14,3,1,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.778,0.778,0.716,0.716,010600002040710000010000000103000000010000000C00000010CCAA742822FD40423C770EA87D1D4189FC609B3B22FD409D58F912777F1D410E51DBE7F62EFD4048A8B5F7737F1D41A8A680B30A2FFD403D7C97E8C17F1D4119101EA19A33FD408FF49119BD7F1D418C06EF465533FD402A028B11137E1D412EE201D94233FD402F38FE19137E1D413EB1DA98272FFD40D263E995147E1D41AC19FD66082FFD405EF162A8B17D1D41A3744B30BB2AFD40B50C48CAB27D1D413A4C4AE3BA2AFD405120A196917D1D4110CCAA742822FD40423C770EA87D1D41,010100002040710000901E7AE49943FD406895AFADB9831D41
173,sport,22,193.74351042,800,Sportpark Driehuis,Driehuis,1361,stoptreinstation,19,46,13,41507.17391304348,37,0.80434782608695652174,2,4,0,15,25,0.043,0.087,0.000,0.326,0.283,0.543,0.230,0.009,0.013,0.000,0.077,0.070,0.131,0.038,0.058,0.000,0.337,0.306,0.568,15,1,1,0,12,1,0.1,0.0,0.0,0.0,0.1,0.0,0.067,0.867,0.046,0.917,01060000204071000001000000010300000001000000110000004C9769289753F9400EE89FE7B5361E4118A49964E057F940B2CBA549F9361E4131E85BBA9859F94027ACC19A7C371E414F26C89B5257F9406E33BFD798381E415022A657CF5EF9405EF8B6295E391E4136E5F1EDFD5CF940498166BD793A1E41B833A9BC6565F94067FDC52F673B1E4123BC3DBA9D65F940CBCA613B513B1E419C57529A8267F940177CE600803B1E419589EE0E5769F940829E4AD4683A1E4112DD723DE762F940456FB228B5381E41A48CE411305FF9405A6F77C87B371E415CA6311AFF5CF94074DADB8C9A361E41F7E527EB0D5AF9407F8D250035351E41CC3413C53559F940BB63907CC5341E41AC42BDEA3455F940E10BFE5CFE341E414C9769289753F9400EE89FE7B5361E41,01010000204071000068E65A4F0268F940FDAC9577053A1E41
446,sport,19,1783.09157128,1016.6666666666666,Amerena,Amersfoort Schothorst,7427,stoptreinstation,17,146,7,16779.520547945205,86,0.58904109589041095890,1,36,0,13,96,0.007,0.247,0.000,0.089,0.048,0.658,0.846,0.003,0.308,0.000,0.078,0.046,0.457,0.004,0.365,0.000,0.092,0.054,0.539,13,3,3,0,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.231,0.231,0.205,0.205,010600002040710000010000000103000000010000001B0000001F6BD82AAB200341E1357540814A1C414F6785B197230341FE4D31BADB4A1C4174DE7862892303410E705924F94A1C416E7CEB6F98230341DAAF29F8FA4A1C415DDAC8DB9123034195182C5D084B1C4174BB761C8C230341198702B2074B1C415A047A938A2303419F08A2F10A4B1C41C3DD18208B240341E0E597022A4B1C411A1BC72A8C2403412629FDC8274B1C416F1DDE0375250341D13C1EB0434B1C41C3E7C0B5B5250341A81F9E24BE4A1C418E3F0EF0DB240341EFFC40C7824A1C41BDF9693DDE240341F35533AF7E4A1C41C51597C705240341AA7B8DF1434A1C41B3805FE3AA220341F1F9DFF6EC491C4105DA21AFAD22034163E24B39E7491C41DBB97393A921034122A0EFF8C1491C417B3F5C64602103418C05E0ECB8491C4189A4584CFE200341942875E6B2491C41D0AA6F0CBE200341BF19D566384A1C41B1BE28AED62003412D70A56E3B4A1C41C1865721D22003413DC9C6DD444A1C412CF789DEDF200341C40CED83464A1C4131B76B0FDE2003413632DD404A4A1C41385A0D34D820034165ADB595494A1C41DEC8FECBC62003419B83DC88474A1C411F6BD82AAB200341E1357540814A1C41,010100002040710000E45369806E0F034155CCC6C48A641C41
18,sport,16,1396.29859428,420,USC Leiden,Leiden Centraal,82689,knooppuntintercitystation,14,121,8,8398.677685950413,25,0.20661157024793388430,0,43,0,10,68,0.000,0.355,0.000,0.083,0.066,0.562,0.578,0.000,0.277,0.000,0.079,0.070,0.221,0.000,0.479,0.000,0.137,0.121,0.383,10,2,3,1,1,3,0.1,0.0,0.0,0.0,0.0,0.0,0.200,0.300,0.117,0.321,0106000020407100000100000001030000000100000015000000D1243A3FE15DF64028D390C00A5C1C41283FC728FB5DF64003B8F7F3345C1C414072FFCFA05FF6403A092CC9245C1C41B0D990B20360F640D2CDA5FF205C1C4144A52C1E0860F6403E824E3D285C1C411C542A502160F640CE920D49515C1C41D44100367762F640F693C35E3A5C1C41628F82736F62F64097AB1EC12D5C1C41709EACA31562F640CA9E7D129B5B1C41E01BFDE85960F6403402CD10AC5B1C416582004B5760F6401DDDA9FAA75B1C4153E514AA4060F64068BE582D845B1C41DCBF7DA6AA5FF64021FDF9158A5B1C41FE869C3CA65FF64081C87EFA825B1C4131DE56E0585FF6401260BDF0855B1C41C5DF394A5D5FF6403C83380C8D5B1C416FCD78B1E85DF64033A091529B5B1C416462334F205EF640F587595DF55B1C413AEBEAB76A5EF6409A0B4980F25B1C415E28C3F5755EF6403EDF4E1D055C1C41D1243A3FE15DF64028D390C00A5C1C41,0101000020407100003EE17C916DB7F640E792C977715B1C41
