poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
375,0.00366300366300366300,51360,51400,TRAIN,20042533,52660
444,0.00512820512820512821,14920,14900,TRAIN,10081613,14900
444,0.00283286118980169972,22770,22800,TRAIN,20260979,33660
299,0.00280112044817927171,530,530,FOOT,20016886,22730
444,0.00283286118980169972,25900,25900,TRAIN,20260979,31800
444,0.00283286118980169972,25940,25900,TRAIN,20260979,33790
444,0.00283286118980169972,25790,25800,TRAIN,20260979,31800
197,0.00275482093663911846,150,150,FOOT,20021063,33250
126,0.00297619047619047619,5240,5200,BUS,10026054,37840
444,0.00283286118980169972,720,720,FOOT,20260979,41920
217,0.00529100529100529101,460,460,BIKE,10024188,134760
173,0.00344827586206896552,7290,7300,TRAIN,20263824,39500
444,0.00283286118980169972,25660,25700,TRAIN,20260979,31600
49,0.00458715596330275229,910,910,FOOT,20239454,58910
444,0.00283286118980169972,34670,34700,TRAIN,20260979,34700
444,0.00283286118980169972,33920,33900,TRAIN,20260979,60280
444,0.00283286118980169972,25640,25600,TRAIN,20260979,32830
355,0.01282051282051282051,1760,1800,FOOT,20228785,51870
444,0.00283286118980169972,44840,44800,TRAIN,20260979,45760
444,0.00283286118980169972,630,630,FOOT,20260979,32630
444,0.00283286118980169972,26660,26700,TRAIN,20260979,33360
444,0.00283286118980169972,900,900,FOOT,20260979,32500
302,0.00467289719626168224,2940,2900,CAR,20232647,47200
444,0.00283286118980169972,25670,25700,TRAIN,20260979,31870
444,0.00283286118980169972,25820,25800,TRAIN,20260979,32400
444,0.00283286118980169972,600,600,FOOT,20260979,32200
444,0.00283286118980169972,25670,25700,TRAIN,20260979,31600
83,0.00303030303030303030,3210,3200,BIKE,20169144,25520
453,0.00338983050847457627,690,690,FOOT,20271902,19090
497,0.00357142857142857143,690,690,FOOT,20081196,80990
444,0.00283286118980169972,25940,25900,TRAIN,20260979,32720
444,0.00283286118980169972,720,720,FOOT,20260979,32520
444,0.00283286118980169972,25620,25600,TRAIN,20260979,32120
241,0.00325732899022801303,1340,1300,BIKE,20281833,13300
444,0.00283286118980169972,25770,25800,TRAIN,20260979,31950
173,0.00671140939597315436,4710,4700,TRAIN,20108318,15250
46,0.00675675675675675676,920,920,BIKE,20278044,85540
444,0.00283286118980169972,12250,12200,TRAIN,20260979,31900
