poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
25,0.00609756097560975610,700,700,FOOT,10046241,88800
12,0.01333333333333333333,18240,18200,CAR,20287604,74410
5,0.00507614213197969543,1390,1400,FOOT,10054263,15410
36,0.00595238095238095238,4870,4900,TRAIN,20267258,19690
25,0.00293255131964809384,780,780,FOOT,20069138,31220
12,0.00275482093663911846,300,300,FOOT,20252234,21500
36,0.00331125827814569536,1400,1400,FOOT,20205936,31440
2,0.00900900900900900901,510,510,FOOT,20293463,38680
25,0.00310559006211180124,1320,1300,FOOT,10071510,247310
25,0.00359712230215827338,510,510,FOOT,10059434,124810
5,0.00283286118980169972,230,230,FOOT,20112572,102630
5,0.00284090909090909091,1420,1400,FOOT,20278879,23600
25,0.00438596491228070175,540,540,FOOT,20151102,23570
12,0.00413223140495867769,6400,6400,TRAM,20226258,57220
12,0.00313479623824451411,350,350,FOOT,10021138,15950
25,0.00500000000000000000,580,580,FOOT,20232640,102880
26,0.00529100529100529101,460,460,BIKE,10024188,134760
1,0.00729927007299270073,1940,1900,FOOT,10013150,8100
12,0.00311526479750778816,410,410,FOOT,20091005,48410
12,0.00311526479750778816,410,410,FOOT,20091005,48410
25,0.01886792452830188679,610,610,FOOT,20226551,148010
14,0.00293255131964809384,7360,7400,CAR,10082241,49900
5,0.00304878048780487805,1020,1000,TRAIN,20234860,88100
25,0.00276243093922651934,610,610,FOOT,20055398,12440
5,0.00574712643678160920,1210,1200,FOOT,10012762,55620
5,0.00555555555555555556,103590,103600,TRAIN,10003475,185230
36,0.00628930817610062893,4230,4200,TRAIN,20012559,5800
12,0.00296735905044510386,360,360,FOOT,20213162,21960
21,0.01351351351351351351,3630,3600,FOOT,20173863,145900
25,0.00757575757575757576,720,720,FOOT,20251464,73220
25,0.00293255131964809384,1110,1100,FOOT,10013840,59400
25,0.00293255131964809384,720,720,FOOT,10013840,61120
36,0.00341296928327645051,4530,4500,TRAIN,20159847,17270
2,0.00900900900900900901,760,760,BIKE,20293463,31860
25,0.00293255131964809384,700,700,BIKE,10013840,60700
25,0.00290697674418604651,940,940,FOOT,20227178,83340
5,0.00331125827814569536,920,920,FOOT,10004635,33420
